model,n_rows,n_cell_lines,n_drugs,rmse,mae,equal_drug_mean_rmse,median_within_drug_spearman,spearman_n_eligible_drugs,spearman_defined_drugs,rmse_sample_sd,mae_sample_sd,equal_drug_mean_rmse_sample_sd,median_within_drug_spearman_sample_sd,rmse_ci_low,rmse_ci_high,mae_ci_low,mae_ci_high,paired_rmse_delta_vs_per_drug_ridge_ci_low,paired_rmse_delta_vs_per_drug_ridge_ci_high,split_seed
mlp_seed_29,13709,120,136,1.2571520912195533,0.94457634885495922,1.2076651215888974,0.52421011433587117,136,136,,,,,1.1986732304515155,1.3161415200298761,0.89929377137014432,0.99095054461160359,0.037443765793488799,0.093157626460062495,31
mlp_seed_43,13709,120,136,1.2560263820199329,0.93920950585677476,1.2001750197525936,0.52349208197484864,136,136,,,,,1.1889697447611638,1.3202797678202942,0.88809136957962886,0.99056402149983158,0.028851970941407599,0.096948722797615905,31
mlp_three_seed_mean,13709,120,136,1.2638942273234941,0.94940914025742096,1.2085667484406968,0.51862975983260096,136,136,0.012665128220677099,0.0132921450521069,0.0088769504489337996,0.0090507466134016005,1.2028635695223164,1.3251297539236508,0.90204724975313344,0.99691604471896245,0.042324122969195202,0.10063548016770001,31
per_drug_mean,13415,120,136,1.557881148755311,1.1938181460717303,1.5000123013937137,,136,0,,,,,1.4674876550939997,1.6562291558634468,1.121334993677815,1.2753025611183817,0.2279334101879856,0.3624384300632868,37
pooled_ridge,13415,120,136,1.3583575407430108,1.016878022295586,1.2878854746928421,0.57179170302627935,136,136,,,,,1.2853203151708443,1.4410978401291197,0.96425124024613762,1.080855274421578,0.076585695510131904,0.1182453303493282,37
per_drug_ridge,13415,120,136,1.2614406843038914,0.94555907854026078,1.2245672979138351,0.59741570171829383,136,136,,,,,1.1848438766904441,1.3508603804074069,0.89083687262874156,1.0109052083825001,0,0,37
mlp_seed_17,13415,120,136,1.3501046010421398,1.0101613767721327,1.3188806965136883,0.57311618862420988,136,136,,,,,1.256403258934911,1.4525060342746705,0.94169128623546983,1.0873303327547628,0.049728149139355401,0.1249385616114965,37
mlp_seed_29,13415,120,136,1.333036004106857,0.99860068107044164,1.3179448101067035,0.59030331694514282,136,136,,,,,1.2385083865186439,1.4350166315671584,0.93003643339355158,1.076569391228785,0.0339084772429082,0.1074541877764891,37
mlp_seed_43,13415,120,136,1.3496855678186734,1.0107804056343539,1.3172336712119728,0.58300651121752034,136,136,,,,,1.2527303847519853,1.4565999019993716,0.94149246728615199,1.0891002017450959,0.046047635150516103,0.12886122542267889,37
mlp_three_seed_mean,13415,120,136,1.3442753909892236,1.0065141544923095,1.3180197259441215,0.58214200559562435,136,136,0.0097358492351321997,0.0068602547607229999,0.00082606438801390003,0.0086261157224887999,1.2504802607244545,1.4465110157818617,0.93903556377688802,1.0833332161066966,0.045330704965028099,0.11895161617683191,37
